Jira.Project,Execution.Key,Test Cycle.Key,,Test Cycle.Name,Test Case.Key,Test Case.Name
EI,EI-E811,EI-R8,Gelo,Negative_Teacher_Classes,EI-T196,Accepting a student join request with an excessively long or unknown student identifier is rejected
EI,EI-E812,EI-R8,Gelo,Negative_Teacher_Classes,EI-T195,Accepting a student join request with the student identifier omitted is rejected
EI,EI-E813,EI-R8,Gelo,Negative_Teacher_Classes,EI-T183,Adding a class cover photo with a malformed class identifier is rejected
EI,EI-E814,EI-R8,Gelo,Negative_Teacher_Classes,EI-T182,Adding a class cover photo with an empty file and with an oversized file is rejected
EI,EI-E815,EI-R8,Gelo,Negative_Teacher_Classes,EI-T181,Adding a class cover photo with an unsupported file type is rejected
EI,EI-E816,EI-R8,Gelo,Negative_Teacher_Classes,EI-T180,Adding a class cover photo with no file attached is rejected
EI,EI-E817,EI-R8,Gelo,Negative_Teacher_Classes,EI-T203,Approving a student leave request with a malformed class identifier is rejected
EI,EI-E818,EI-R8,Gelo,Negative_Teacher_Classes,EI-T202,Approving a student leave request with a non-boolean is_granted value is rejected
EI,EI-E819,EI-R8,Gelo,Negative_Teacher_Classes,EI-T201,Approving a student leave request with is_granted supplied as the wrong data type is rejected
EI,EI-E820,EI-R8,Gelo,Negative_Teacher_Classes,EI-T200,Approving a student leave request without the required is_granted field is rejected
EI,EI-E821,EI-R8,Gelo,Negative_Teacher_Classes,EI-T152,Creating a class with an unsupported semester value is rejected
EI,EI-E822,EI-R8,Gelo,Negative_Teacher_Classes,EI-T151,Creating a class with schedules supplied as the wrong data type is rejected
EI,EI-E823,EI-R8,Gelo,Negative_Teacher_Classes,EI-T150,Creating a class without the required title field is rejected
EI,EI-E824,EI-R8,Gelo,Negative_Teacher_Classes,EI-T164,Deleting a class announcement with a malformed message identifier is rejected
EI,EI-E825,EI-R8,Gelo,Negative_Teacher_Classes,EI-T166,Deleting a class announcement with an excessively long or unknown message identifier is rejected
EI,EI-E826,EI-R8,Gelo,Negative_Teacher_Classes,EI-T165,Deleting a class announcement with the message identifier omitted is rejected
EI,EI-E827,EI-R8,Gelo,Negative_Teacher_Classes,EI-T188,Deleting a class cover photo with a malformed class identifier is rejected
EI,EI-E828,EI-R8,Gelo,Negative_Teacher_Classes,EI-T190,Deleting a class cover photo with an excessively long or unknown class identifier is rejected
EI,EI-E829,EI-R8,Gelo,Negative_Teacher_Classes,EI-T189,Deleting a class cover photo with the class identifier omitted is rejected
EI,EI-E830,EI-R8,Gelo,Negative_Teacher_Classes,EI-T177,Deleting a class with a malformed class identifier is rejected
EI,EI-E831,EI-R8,Gelo,Negative_Teacher_Classes,EI-T179,Deleting a class with an excessively long or unknown class identifier is rejected
EI,EI-E832,EI-R8,Gelo,Negative_Teacher_Classes,EI-T178,Deleting a class with the class identifier omitted is rejected
EI,EI-E833,EI-R8,Gelo,Negative_Teacher_Classes,EI-T154,Fetching a class by code with a malformed class code is rejected
EI,EI-E834,EI-R8,Gelo,Negative_Teacher_Classes,EI-T156,Fetching a class by code with an excessively long or unknown class code is rejected
EI,EI-E835,EI-R8,Gelo,Negative_Teacher_Classes,EI-T155,Fetching a class by code with the class code omitted is rejected
EI,EI-E836,EI-R8,Gelo,Negative_Teacher_Classes,EI-T167,Fetching a class gradebook with a malformed class code is rejected
EI,EI-E837,EI-R8,Gelo,Negative_Teacher_Classes,EI-T169,Fetching a class gradebook with an excessively long or unknown class code is rejected
EI,EI-E838,EI-R8,Gelo,Negative_Teacher_Classes,EI-T168,Fetching a class gradebook with the class code omitted is rejected
EI,EI-E839,EI-R8,Gelo,Negative_Teacher_Classes,EI-T170,Fetching a class roster with a malformed class identifier is rejected
EI,EI-E840,EI-R8,Gelo,Negative_Teacher_Classes,EI-T172,Fetching a class roster with an excessively long or unknown class identifier is rejected
EI,EI-E841,EI-R8,Gelo,Negative_Teacher_Classes,EI-T171,Fetching a class roster with the class identifier omitted is rejected
EI,EI-E842,EI-R8,Gelo,Negative_Teacher_Classes,EI-T153,Fetching all classes with non-numeric and out-of-range pagination values is rejected
EI,EI-E843,EI-R8,Gelo,Negative_Teacher_Classes,EI-T157,Fetching class announcements with a malformed class identifier is rejected
EI,EI-E844,EI-R8,Gelo,Negative_Teacher_Classes,EI-T159,Fetching class announcements with an excessively long or unknown class identifier is rejected
EI,EI-E845,EI-R8,Gelo,Negative_Teacher_Classes,EI-T158,Fetching class announcements with the class identifier omitted is rejected
EI,EI-E846,EI-R8,Gelo,Negative_Teacher_Classes,EI-T204,Fetching class assignments with a malformed class identifier is rejected
EI,EI-E847,EI-R8,Gelo,Negative_Teacher_Classes,EI-T206,Fetching class assignments with an excessively long or unknown class identifier is rejected
EI,EI-E848,EI-R8,Gelo,Negative_Teacher_Classes,EI-T205,Fetching class assignments with the class identifier omitted is rejected
EI,EI-E849,EI-R8,Gelo,Negative_Teacher_Classes,EI-T163,Posting a class announcement with a malformed class identifier is rejected
EI,EI-E850,EI-R8,Gelo,Negative_Teacher_Classes,EI-T162,Posting a class announcement with an empty or over-length content value is rejected
EI,EI-E851,EI-R8,Gelo,Negative_Teacher_Classes,EI-T161,Posting a class announcement with content supplied as the wrong data type is rejected
EI,EI-E852,EI-R8,Gelo,Negative_Teacher_Classes,EI-T160,Posting a class announcement without the required content field is rejected
EI,EI-E853,EI-R8,Gelo,Negative_Teacher_Classes,EI-T197,Removing a student from a class with a malformed student identifier is rejected
EI,EI-E854,EI-R8,Gelo,Negative_Teacher_Classes,EI-T199,Removing a student from a class with an excessively long or unknown student identifier is rejected
EI,EI-E855,EI-R8,Gelo,Negative_Teacher_Classes,EI-T198,Removing a student from a class with the student identifier omitted is rejected
EI,EI-E856,EI-R8,Gelo,Negative_Teacher_Classes,EI-T191,Restoring a soft-deleted class with a malformed class identifier is rejected
EI,EI-E857,EI-R8,Gelo,Negative_Teacher_Classes,EI-T193,Restoring a soft-deleted class with an excessively long or unknown class identifier is rejected
EI,EI-E858,EI-R8,Gelo,Negative_Teacher_Classes,EI-T192,Restoring a soft-deleted class with the class identifier omitted is rejected
EI,EI-E859,EI-R8,Gelo,Negative_Teacher_Classes,EI-T187,Updating a class cover photo with a malformed class identifier is rejected
EI,EI-E860,EI-R8,Gelo,Negative_Teacher_Classes,EI-T186,Updating a class cover photo with an empty file and with an oversized file is rejected
EI,EI-E861,EI-R8,Gelo,Negative_Teacher_Classes,EI-T185,Updating a class cover photo with an unsupported file type is rejected
EI,EI-E862,EI-R8,Gelo,Negative_Teacher_Classes,EI-T184,Updating a class cover photo with no file attached is rejected
EI,EI-E863,EI-R8,Gelo,Negative_Teacher_Classes,EI-T176,Updating class details with a malformed class identifier is rejected
EI,EI-E864,EI-R8,Gelo,Negative_Teacher_Classes,EI-T175,Updating class details with an unsupported semester value is rejected
EI,EI-E865,EI-R8,Gelo,Negative_Teacher_Classes,EI-T174,Updating class details with section supplied as the wrong data type is rejected
EI,EI-E866,EI-R8,Gelo,Negative_Teacher_Classes,EI-T173,Updating class details without the required title field is rejected
EI,EI-E867,EI-R9,Gelo,Negative_Teacher_Question,EI-T223,Clearing question filters with malformed request parameters returns no server error
EI,EI-E868,EI-R9,Gelo,Negative_Teacher_Question,EI-T211,Creating a question with an empty payload and with an oversized payload is rejected
EI,EI-E869,EI-R9,Gelo,Negative_Teacher_Question,EI-T210,Creating a question with the answer options supplied as the wrong data type is rejected
EI,EI-E870,EI-R9,Gelo,Negative_Teacher_Question,EI-T209,Creating a question without the required question stem is rejected
EI,EI-E871,EI-R9,Gelo,Negative_Teacher_Question,EI-T219,Deleting a question with a malformed question identifier is rejected
EI,EI-E872,EI-R9,Gelo,Negative_Teacher_Question,EI-T221,Deleting a question with an excessively long or unknown question identifier is rejected
EI,EI-E873,EI-R9,Gelo,Negative_Teacher_Question,EI-T220,Deleting a question with the question identifier omitted is rejected
EI,EI-E874,EI-R9,Gelo,Negative_Teacher_Question,EI-T212,Fetching a question by identifier with a malformed question identifier is rejected
EI,EI-E875,EI-R9,Gelo,Negative_Teacher_Question,EI-T214,Fetching a question by identifier with an excessively long or unknown question identifier is rejected
EI,EI-E876,EI-R9,Gelo,Negative_Teacher_Question,EI-T213,Fetching a question by identifier with the question identifier omitted is rejected
EI,EI-E877,EI-R9,Gelo,Negative_Teacher_Question,EI-T207,Fetching all questions with malformed filter values is rejected
EI,EI-E878,EI-R9,Gelo,Negative_Teacher_Question,EI-T222,Fetching question filter options with malformed request parameters returns no server error
EI,EI-E879,EI-R9,Gelo,Negative_Teacher_Question,EI-T208,Fetching staff questions with malformed filter values is rejected
EI,EI-E880,EI-R9,Gelo,Negative_Teacher_Question,EI-T218,Updating a question with a malformed question identifier is rejected
EI,EI-E881,EI-R9,Gelo,Negative_Teacher_Question,EI-T217,Updating a question with an empty payload and with an oversized payload is rejected
EI,EI-E882,EI-R9,Gelo,Negative_Teacher_Question,EI-T216,Updating a question with the answer options supplied as the wrong data type is rejected
EI,EI-E883,EI-R9,Gelo,Negative_Teacher_Question,EI-T215,Updating a question without the required question stem is rejected
EI,EI-E884,EI-R9,Gelo,Negative_Teacher_Question,EI-T226,Uploading a question image with an empty file and with an oversized file is rejected
EI,EI-E885,EI-R9,Gelo,Negative_Teacher_Question,EI-T225,Uploading a question image with an unsupported file type is rejected
EI,EI-E886,EI-R9,Gelo,Negative_Teacher_Question,EI-T224,Uploading a question image with no file attached is rejected
EI,EI-E887,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T244,Committing a question import with a malformed import job identifier is rejected
EI,EI-E888,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T243,Committing a question import with an empty payload and with an oversized payload is rejected
EI,EI-E889,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T242,Committing a question import with the question stem supplied as the wrong data type is rejected
EI,EI-E890,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T241,Committing a question import without the required question payload list is rejected
EI,EI-E891,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T238,Fetching proposed import questions with a malformed import job identifier is rejected
EI,EI-E892,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T240,Fetching proposed import questions with an excessively long or unknown import job identifier is rejected
EI,EI-E893,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T239,Fetching proposed import questions with the import job identifier omitted is rejected
EI,EI-E894,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T234,Importing a pasted question with an empty or over-length text value is rejected
EI,EI-E895,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T233,Importing a pasted question with question_type supplied as the wrong data type is rejected
EI,EI-E896,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T232,Importing a pasted question without the required text field is rejected
EI,EI-E897,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T235,Polling an import job status with a malformed import job identifier is rejected
EI,EI-E898,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T237,Polling an import job status with an excessively long or unknown import job identifier is rejected
EI,EI-E899,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T236,Polling an import job status with the import job identifier omitted is rejected
EI,EI-E900,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T229,Uploading a question import file with an empty file and with an oversized file is rejected
EI,EI-E901,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T231,Uploading a question import file with an unrecognised question_type value is rejected
EI,EI-E902,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T228,Uploading a question import file with an unsupported file type is rejected
EI,EI-E903,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T227,Uploading a question import file with no file attached is rejected
EI,EI-E904,EI-R10,Gelo,Negative_Teacher_Question Import,EI-T230,Uploading a question import file with question_type omitted is rejected
EI,EI-E905,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T283,Adding a comment on a student answer with a malformed question identifier is rejected
EI,EI-E906,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T282,Adding a comment on a student answer with an empty or over-length comment value is rejected
EI,EI-E907,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T281,Adding a comment on a student answer with comment supplied as the wrong data type is rejected
EI,EI-E908,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T280,Adding a comment on a student answer without the required comment field is rejected
EI,EI-E909,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T296,Approving a late submission with a malformed submission identifier is rejected
EI,EI-E910,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T295,Approving a late submission with late_penalty outside its accepted range is rejected
EI,EI-E911,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T294,Approving a late submission with late_penalty supplied as the wrong data type is rejected
EI,EI-E912,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T253,Creating a staff assignment with an unsupported type value is rejected
EI,EI-E913,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T252,Creating a staff assignment with questions supplied as the wrong data type is rejected
EI,EI-E914,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T251,Creating a staff assignment without the required description field is rejected
EI,EI-E915,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T395,Creating an assignment through the shared service with an unsupported type value is rejected
EI,EI-E916,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T394,Creating an assignment through the shared service with questions supplied as the wrong data type is rejected
EI,EI-E917,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T393,Creating an assignment through the shared service without the required questions field is rejected
EI,EI-E918,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T247,Creating an assignment with an unsupported type value is rejected
EI,EI-E919,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T246,Creating an assignment with questions supplied as the wrong data type is rejected
EI,EI-E920,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T245,Creating an assignment without the required title field is rejected
EI,EI-E921,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T288,Deleting a comment on a student answer with a malformed question identifier is rejected
EI,EI-E922,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T290,Deleting a comment on a student answer with an excessively long or unknown question identifier is rejected
EI,EI-E923,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T289,Deleting a comment on a student answer with the question identifier omitted is rejected
EI,EI-E924,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T418,Deleting an assignment through the shared service with a malformed assignment_uuid value is rejected
EI,EI-E925,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T417,Deleting an assignment through the shared service without the required assignment_uuid parameter is rejected
EI,EI-E926,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T268,Deleting an assignment with a malformed assignment identifier is rejected
EI,EI-E927,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T270,Deleting an assignment with an excessively long or unknown assignment identifier is rejected
EI,EI-E928,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T269,Deleting an assignment with the assignment identifier omitted is rejected
EI,EI-E929,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T255,Fetching a staff assignment with a malformed assignment identifier is rejected
EI,EI-E930,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T257,Fetching a staff assignment with an excessively long or unknown assignment identifier is rejected
EI,EI-E931,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T256,Fetching a staff assignment with the assignment identifier omitted is rejected
EI,EI-E932,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T277,Fetching a student submission with a malformed student identifier is rejected
EI,EI-E933,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T279,Fetching a student submission with an excessively long or unknown student identifier is rejected
EI,EI-E934,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T278,Fetching a student submission with the student identifier omitted is rejected
EI,EI-E935,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T258,Fetching a teacher assignment with a malformed assignment identifier is rejected
EI,EI-E936,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T260,Fetching a teacher assignment with an excessively long or unknown assignment identifier is rejected
EI,EI-E937,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T259,Fetching a teacher assignment with the assignment identifier omitted is rejected
EI,EI-E938,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T254,Fetching all staff assignments with malformed request parameters returns no server error
EI,EI-E939,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T271,Fetching assignment analytics summary with a malformed assignment identifier is rejected
EI,EI-E940,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T273,Fetching assignment analytics summary with an excessively long or unknown assignment identifier is rejected
EI,EI-E941,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T272,Fetching assignment analytics summary with the assignment identifier omitted is rejected
EI,EI-E942,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T274,Fetching assignment item analysis with a malformed assignment identifier is rejected
EI,EI-E943,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T276,Fetching assignment item analysis with an excessively long or unknown assignment identifier is rejected
EI,EI-E944,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T275,Fetching assignment item analysis with the assignment identifier omitted is rejected
EI,EI-E945,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T248,Fetching class assignments for a teacher with a malformed class code is rejected
EI,EI-E946,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T250,Fetching class assignments for a teacher with an excessively long or unknown class code is rejected
EI,EI-E947,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T249,Fetching class assignments for a teacher with the class code omitted is rejected
EI,EI-E948,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T411,Fetching shared assignment analytics with a malformed assignment identifier is rejected
EI,EI-E949,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T413,Fetching shared assignment analytics with an excessively long or unknown assignment identifier is rejected
EI,EI-E950,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T412,Fetching shared assignment analytics with the assignment identifier omitted is rejected
EI,EI-E951,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T291,Listing pending late submissions with a malformed assignment identifier is rejected
EI,EI-E952,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T293,Listing pending late submissions with an excessively long or unknown assignment identifier is rejected
EI,EI-E953,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T292,Listing pending late submissions with the assignment identifier omitted is rejected
EI,EI-E954,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T267,Overriding a question point value with a malformed assignment identifier is rejected
EI,EI-E955,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T266,Overriding a question point value with points outside its accepted range is rejected
EI,EI-E956,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T265,Overriding a question point value with points supplied as the wrong data type is rejected
EI,EI-E957,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T264,Overriding a question point value without the required points field is rejected
EI,EI-E958,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T299,Rejecting a late submission with a malformed submission identifier is rejected
EI,EI-E959,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T298,Rejecting a late submission with an empty or over-length reason value is rejected
EI,EI-E960,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T297,Rejecting a late submission with reason supplied as the wrong data type is rejected
EI,EI-E961,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T405,Retrieving a submission for review with a malformed submission identifier is rejected
EI,EI-E962,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T407,Retrieving a submission for review with an excessively long or unknown submission identifier is rejected
EI,EI-E963,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T406,Retrieving a submission for review with the submission identifier omitted is rejected
EI,EI-E964,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T396,Retrieving an assignment through the shared service with a malformed assignment identifier is rejected
EI,EI-E965,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T398,Retrieving an assignment through the shared service with an excessively long or unknown assignment identifier is rejected
EI,EI-E966,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T397,Retrieving an assignment through the shared service with the assignment identifier omitted is rejected
EI,EI-E967,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T410,Sharing an assignment with an empty or over-length description value is rejected
EI,EI-E968,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T409,Sharing an assignment with object_id supplied as the wrong data type is rejected
EI,EI-E969,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T408,Sharing an assignment without the required recipient_id field is rejected
EI,EI-E970,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T287,Updating a comment on a student answer with a malformed question identifier is rejected
EI,EI-E971,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T286,Updating a comment on a student answer with an empty or over-length comment value is rejected
EI,EI-E972,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T285,Updating a comment on a student answer with comment supplied as the wrong data type is rejected
EI,EI-E973,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T284,Updating a comment on a student answer without the required comment field is rejected
EI,EI-E974,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T416,Updating an assignment through the shared service with a malformed assignment identifier is rejected
EI,EI-E975,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T415,Updating an assignment through the shared service with passing_grade outside its accepted range is rejected
EI,EI-E976,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T414,Updating an assignment through the shared service with questions supplied as the wrong data type is rejected
EI,EI-E977,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T263,Updating an assignment with a malformed assignment identifier is rejected
EI,EI-E978,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T262,Updating an assignment with passing_grade outside its accepted range is rejected
EI,EI-E979,EI-R11,Gelo,Negative_Teacher_Assignments,EI-T261,Updating an assignment with questions supplied as the wrong data type is rejected
EI,EI-E980,EI-R12,Gelo,Negative_Teacher_Theme,EI-T303,Applying a teacher theme with an empty or over-length theme_id value is rejected
EI,EI-E981,EI-R12,Gelo,Negative_Teacher_Theme,EI-T302,Applying a teacher theme with color_mode supplied as the wrong data type is rejected
EI,EI-E982,EI-R12,Gelo,Negative_Teacher_Theme,EI-T301,Applying a teacher theme without the required theme_id field is rejected
EI,EI-E983,EI-R12,Gelo,Negative_Teacher_Theme,EI-T306,Deleting a teacher theme with malformed request parameters returns no server error
EI,EI-E984,EI-R12,Gelo,Negative_Teacher_Theme,EI-T300,Fetching a teacher theme with malformed request parameters returns no server error
EI,EI-E985,EI-R12,Gelo,Negative_Teacher_Theme,EI-T305,Updating teacher theme settings with an empty or over-length theme_name value is rejected
EI,EI-E986,EI-R12,Gelo,Negative_Teacher_Theme,EI-T304,Updating teacher theme settings with colors supplied as the wrong data type is rejected
EI,EI-E987,EI-R13,Gelo,Negative_Teacher_Features,EI-T308,Fetching a single feature status for a teacher with a malformed feature name is rejected
EI,EI-E988,EI-R13,Gelo,Negative_Teacher_Features,EI-T310,Fetching a single feature status for a teacher with an excessively long or unknown feature name is rejected
EI,EI-E989,EI-R13,Gelo,Negative_Teacher_Features,EI-T309,Fetching a single feature status for a teacher with the feature name omitted is rejected
EI,EI-E990,EI-R13,Gelo,Negative_Teacher_Features,EI-T314,Fetching a teacher assignment quota with a malformed class_code value is rejected
EI,EI-E991,EI-R13,Gelo,Negative_Teacher_Features,EI-T313,Fetching a teacher district plan with malformed request parameters returns no server error
EI,EI-E992,EI-R13,Gelo,Negative_Teacher_Features,EI-T307,Fetching teacher feature flags with malformed request parameters returns no server error
EI,EI-E993,EI-R13,Gelo,Negative_Teacher_Features,EI-T311,Fetching teacher organisation details with malformed request parameters returns no server error
EI,EI-E994,EI-R13,Gelo,Negative_Teacher_Features,EI-T312,Fetching teacher school details with malformed request parameters returns no server error
EI,EI-E995,EI-R14,Trishia,Negative_Student_Accounts,EI-T322,Adding a student profile picture with an empty file and with an oversized file is rejected
EI,EI-E996,EI-R14,Trishia,Negative_Student_Accounts,EI-T321,Adding a student profile picture with an unsupported file type is rejected
EI,EI-E997,EI-R14,Trishia,Negative_Student_Accounts,EI-T320,Adding a student profile picture with no file attached is rejected
EI,EI-E998,EI-R14,Trishia,Negative_Student_Accounts,EI-T329,Changing a student password with an empty or over-length new_password value is rejected
EI,EI-E999,EI-R14,Trishia,Negative_Student_Accounts,EI-T328,Changing a student password with new_password supplied as the wrong data type is rejected
EI,EI-E1000,EI-R14,Trishia,Negative_Student_Accounts,EI-T327,Changing a student password without the required current_password field is rejected
